"","zip","family_size","income_limit","year"
"249","120","9",54867.3214285714,"2017"
"250","120","10",63097.4196428571,"2017"
"251","120","11",72562.0325892857,"2017"
"252","120","NoAnswer",1,"2017"
"253","121","1",25107.6923076923,"2017"
"254","121","2",28680.7692307692,"2017"
"255","121","3",32273.0769230769,"2017"
"256","121","4",35838.4615384615,"2017"
"257","121","5",38726.9230769231,"2017"
"258","121","6",41584.6153846154,"2017"
"259","121","7",44461.5384615385,"2017"
"260","121","8",47319.2307692308,"2017"
"261","121","9",54417.1153846154,"2017"
"262","121","10",62579.6826923077,"2017"
"263","121","11",71966.6350961538,"2017"
"264","121","NoAnswer",1,"2017"
"265","122","1",28366.6666666667,"2017"
"266","122","2",32416.6666666667,"2017"
"267","122","3",36466.6666666667,"2017"
"268","122","4",40516.6666666667,"2017"
"269","122","5",43766.6666666667,"2017"
"270","122","6",47000,"2017"
"271","122","7",50250,"2017"
"272","122","8",53483.3333333333,"2017"
"273","122","9",61505.8333333333,"2017"
"274","122","10",70731.7083333333,"2017"
"275","122","11",81341.4645833333,"2017"
"276","122","NoAnswer",1,"2017"
"277","123","1",28660,"2017"
"278","123","2",32750,"2017"
"279","123","3",36840,"2017"
"280","123","4",40930,"2017"
"281","123","5",44220,"2017"
"282","123","6",47480,"2017"
"283","123","7",50770,"2017"
"284","123","8",54030,"2017"
"285","123","9",62134.5,"2017"
"286","123","10",71454.675,"2017"
"287","123","11",82172.87625,"2017"
"288","123","NoAnswer",1,"2017"
"289","124","1",26222.2222222222,"2017"
"290","124","2",29961.1111111111,"2017"
"291","124","3",33711.1111111111,"2017"
"292","124","4",37444.4444444444,"2017"
"293","124","5",40455.5555555556,"2017"
"294","124","6",43444.4444444444,"2017"
"295","124","7",46450,"2017"
"296","124","8",49438.8888888889,"2017"
"297","124","9",56854.7222222222,"2017"
"298","124","10",65382.9305555555,"2017"
"299","124","11",75190.3701388889,"2017"
"300","124","NoAnswer",1,"2017"
"301","125","1",28528.5714285714,"2017"
"302","125","2",32607.1428571429,"2017"
"303","125","3",36678.5714285714,"2017"
"304","125","4",40735.7142857143,"2017"
"305","125","5",44014.2857142857,"2017"
"306","125","6",47278.5714285714,"2017"
"307","125","7",50535.7142857143,"2017"
"308","125","8",53800,"2017"
"309","125","9",61870,"2017"
"310","125","10",71150.5,"2017"
"311","125","11",81823.075,"2017"
"312","125","NoAnswer",1,"2017"
"313","126","1",29650,"2017"
"314","126","2",33900,"2017"
"315","126","3",38125,"2017"
"316","126","4",42350,"2017"
"317","126","5",45750,"2017"
"318","126","6",49150,"2017"
"319","126","7",52525,"2017"
"320","126","8",55925,"2017"
"321","126","9",64313.75,"2017"
"322","126","10",73960.8125,"2017"
"323","126","11",85054.934375,"2017"
"324","126","NoAnswer",1,"2017"
"325","127","1",26150,"2017"
"326","127","2",29880,"2017"
"327","127","3",33620,"2017"
"328","127","4",37340,"2017"
"329","127","5",40340,"2017"
"330","127","6",43330,"2017"
"331","127","7",46320,"2017"
"332","127","8",49310,"2017"
"333","127","9",56706.5,"2017"
"334","127","10",65212.475,"2017"
"335","127","11",74994.34625,"2017"
"336","127","NoAnswer",1,"2017"
"337","128","1",23910,"2017"
"338","128","2",27320,"2017"
"339","128","3",30730,"2017"
"340","128","4",34130,"2017"
"341","128","5",36890,"2017"
"342","128","6",39610,"2017"
"343","128","7",42340,"2017"
"344","128","8",45080,"2017"
"345","128","9",51842,"2017"
"346","128","10",59618.3,"2017"
"347","128","11",68561.045,"2017"
"348","128","NoAnswer",1,"2017"
"349","129","1",22700,"2017"
"350","129","2",25925,"2017"
"351","129","3",29175,"2017"
"352","129","4",32400,"2017"
"353","129","5",35000,"2017"
"354","129","6",37587.5,"2017"
"355","129","7",40187.5,"2017"
"356","129","8",42775,"2017"
"357","129","9",49191.25,"2017"
"358","129","10",56569.9375,"2017"
"359","129","11",65055.428125,"2017"
"360","129","NoAnswer",1,"2017"
"361","130","1",23672.7272727273,"2017"
"362","130","2",27040.9090909091,"2017"
"363","130","3",30431.8181818182,"2017"
"364","130","4",33790.9090909091,"2017"
"365","130","5",36513.6363636364,"2017"
"366","130","6",39209.0909090909,"2017"
"367","130","7",41922.7272727273,"2017"
